family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Anomaly trigger,0.34,0,0.019286403085824494,0.3162970106075217,0.4004676324958738,0.9658903355950853,0.09068263088111214,0.9685804974084937,0.3399895536180642,847.4060668945312
Random gate,0.34,0,0.015429122468659595,0.28640308582449375,0.4200440124701999,0.9614432422519714,0.10032544497569207,0.9651653340833299,0.3356101088834425,810.3756713867188
Width gate,0.38,0,0.019286403085824494,0.3828351012536162,0.34146341463414637,0.9657986429488356,0.10269597010727631,0.9686206758005544,0.3800072321105709,859.63916015625
Linear score gate,0.38,0,0.019286403085824494,0.3760848601735776,0.35022006235099945,0.9657527966257106,0.0975129575314396,0.968540319016433,0.3800072321105709,864.2568969726562
Anomaly trigger,0.38,0,0.019286403085824494,0.3018322082931533,0.41426737575646433,0.9658903355950853,0.08963799268753264,0.9685804974084937,0.3800072321105709,853.531982421875
Random gate,0.38,0,0.011571841851494697,0.2719382835101254,0.4339354483770402,0.9611223179900972,0.09775402788380409,0.965004620515087,0.38245811402627666,816.9932861328125
Width gate,0.42000000000000004,0,0.019286403085824494,0.3760848601735776,0.3695213643865762,0.9657527966257106,0.10124954799308931,0.9685804974084937,0.4199847322110169,870.8980102539062
Linear score gate,0.42000000000000004,0,0.019286403085824494,0.32690453230472516,0.36805428204657986,0.9657527966257106,0.09743260074731809,0.968540319016433,0.4199847322110169,869.6663208007812
Anomaly trigger,0.42000000000000004,0,0.019286403085824494,0.28833172613307617,0.43031358885017423,0.9658903355950853,0.0887942464542569,0.9685804974084937,0.4199847322110169,861.490234375
Random gate,0.42000000000000004,0,0.01253616200578592,0.26422372227579555,0.44622226297450945,0.9601595452044746,0.09799509823616859,0.9640805174976897,0.42307846839969465,825.215576171875
Width gate,0.46,0,0.019286403085824494,0.36354869816779173,0.38845589583715384,0.9656152576563359,0.09727188717907509,0.9684599622323115,0.46000241070352366,876.42138671875
Linear score gate,0.46,0,0.019286403085824494,0.30665380906460943,0.39102328993214747,0.9657069503025857,0.09164691229057013,0.9685001406243722,0.46000241070352366,869.3792114257812
Anomaly trigger,0.46,0,0.019286403085824494,0.28254580520732886,0.44801026957637996,0.9658903355950853,0.08698621881152316,0.9685804974084937,0.46000241070352366,870.1806640625
Random gate,0.46,0,0.007714561234329798,0.26229508196721313,0.4529616724738676,0.9601595452044746,0.09747277913937884,0.9644823014182973,0.4577925991401824,831.58642578125
Width gate,0.5,0,0.019286403085824494,0.3365477338476374,0.4064735008252338,0.9655694113332111,0.09285226405239262,0.9684197838402507,0.49997991080396964,878.9765625
Linear score gate,0.5,0,0.019286403085824494,0.2970106075216972,0.41454245369521364,0.9657069503025857,0.08750853790831291,0.9685001406243722,0.49997991080396964,870.42041015625
Anomaly trigger,0.5,0,0.015429122468659595,0.2459016393442623,0.4604804694663488,0.9659820282413351,0.08602193740206517,0.9691028165052834,0.49997991080396964,873.5565795898438
