family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Linear score gate,0.7000000000000001,0,0.01446480231436837,0.43201542912246865,0.26265358518246834,0.9843205574912892,0.08369159066254168,0.9850536381534011,0.6999879464823818,1055.6370849609375
Anomaly trigger,0.7000000000000001,0,0.048216007714561235,0.4030858244937319,0.26306620209059234,0.9540619842288648,0.112057535457431,0.9568885853188155,0.6999879464823818,1039.114013671875
Random gate,0.7000000000000001,0,0.037608486017357765,0.42333654773384766,0.25518063451311207,0.9111039794608472,0.14954397525011048,0.9173932259230986,0.6975772429587368,1003.2164306640625
Width gate,0.74,0,0.006750241080038573,0.4484088717454195,0.2812671923711718,0.9765725288831836,0.09040138213668689,0.9777411707983447,0.7400056249748885,1081.864990234375
Linear score gate,0.74,0,0.021215043394406944,0.4214079074252652,0.2750779387493123,0.983220245736292,0.08457551528787818,0.9838081079995179,0.7400056249748885,1063.7906494140625
Anomaly trigger,0.74,0,0.05110896817743491,0.40405014464802314,0.276407482119934,0.9511278195488722,0.11382538470810398,0.9541564546586846,0.7400056249748885,1046.7491455078125
Random gate,0.74,0,0.03471552555448409,0.42912246865959497,0.25981111314872546,0.9039519530533651,0.1544859174735827,0.9106834344489534,0.7356261802402668,1014.4813232421875
Width gate,0.78,0,0.008678881388621022,0.4455159112825458,0.28278012103429306,0.9668989547038328,0.09811563341235084,0.968701032584676,0.7799831250753345,1081.9105224609375
Linear score gate,0.78,0,0.02700096432015429,0.4108003857280617,0.2830093526499175,0.9790940766550522,0.0880710353971634,0.9798304471855036,0.7799831250753345,1068.4913330078125
Anomaly trigger,0.78,0,0.052073288331726135,0.4059787849566056,0.28768567760865577,0.9463139556207593,0.11800393748242195,0.9498171883161236,0.7799831250753345,1057.6112060546875
Random gate,0.78,0,0.040501446480231434,0.43297974927675986,0.2663671373555841,0.8993673207408766,0.15766001044638195,0.9066655952428784,0.7799831250753345,1029.7120361328125
Width gate,0.8200000000000001,0,0.008678881388621022,0.43201542912246865,0.28383458646616544,0.9524573629194939,0.10992808067821126,0.9553216280284463,0.8200008035678412,1079.142578125
Linear score gate,0.8200000000000001,0,0.03567984570877531,0.40790742526518803,0.28681459746928295,0.9680909591050798,0.09771384949174335,0.9697858491703162,0.8200008035678412,1070.701904296875
Anomaly trigger,0.8200000000000001,0,0.052073288331726135,0.4059787849566056,0.30226480836236935,0.9383366953970291,0.12403069629153442,0.9426654345293102,0.8200008035678412,1076.1856689453125
Random gate,0.8200000000000001,0,0.040501446480231434,0.4156219864995178,0.2735650100861911,0.8925820649183935,0.16408855317610188,0.9005986580417051,0.82261239905179,1034.4190673828125
Width gate,0.86,0,0.013500482160077145,0.4156219864995178,0.2861269026224097,0.9404456262607739,0.11928964602836595,0.9437502511149504,0.8599783036682872,1075.039794921875
Linear score gate,0.86,0,0.04532304725168756,0.4059787849566056,0.29066568861177333,0.9472308820832569,0.11599501787938447,0.9510225400779461,0.8599783036682872,1075.6417236328125
Anomaly trigger,0.86,0,0.052073288331726135,0.4059787849566056,0.3055657436273611,0.9289381991564276,0.1315440556068946,0.9342279721965527,0.8599783036682872,1085.925537109375
Random gate,0.86,0,0.04725168756027001,0.4156219864995178,0.2790665688611773,0.8882725105446543,0.16670014866005062,0.8963397484832657,0.8610631202539274,1048.5382080078125
Width gate,0.9,0,0.023143683702989394,0.4088717454194793,0.29153676875114615,0.9262791124151843,0.13114227168628712,0.9304512033428423,0.8999959821607939,1078.772216796875
